hit_from,hit_to,query_from,query_to,hit_gaps,query_gaps,align_from,align_to,align_len,identity,query_strand,hit_strand,bit_score,evalue,hit_seqid,hit_genome_id,query_genome_id,hit_taxonomy_id,query_taxonomy_id,gff_seqid,gff_source,gff_type,gff_start,gff_end,gff_score,gff_strand,gff_phase,gff_gene_id,gff_attribute:ID
12519311,12519406,22,117,0,0,12519289,12519492,95,79,+,+,87.9128,2.80504e-16,NC_085107.1,GCF_030269925.1,GCF_030705265.1,7091,29058,NC_087120.1,Gnomon,exon,7022221,7022424,None,-,None,110374515,exon-XM_021332256.3-24
12519311,12519406,22,117,0,0,12519289,12519492,95,79,+,+,87.9128,2.80504e-16,NC_085107.1,GCF_030269925.1,GCF_030705265.1,7091,29058,NC_087120.1,Gnomon,exon,7022221,7022424,None,-,None,110374515,exon-XM_049848696.2-21
12519311,12519406,22,117,0,0,12519289,12519492,95,79,+,+,87.9128,2.80504e-16,NC_085107.1,GCF_030269925.1,GCF_030705265.1,7091,29058,NC_087120.1,Gnomon,exon,7022221,7022424,None,-,None,110374515,exon-XM_049848900.2-19
12519311,12519406,22,117,0,0,12519289,12519492,95,79,+,+,87.9128,2.80504e-16,NC_085107.1,GCF_030269925.1,GCF_030705265.1,7091,29058,NC_087120.1,Gnomon,exon,7022221,7022424,None,-,None,110374515,exon-XM_049848848.2-20
2688400,2688535,838,973,0,0,2687562,2688535,135,119,+,-,161.779,2.71018e-38,NC_004354.4,GCF_000001215.4,GCF_023558535.2,7227,42062,NC_083459.1,Gnomon,exon,25263365,25264338,None,-,None,132795519,exon-XM_060806281.1-3
2689924,2690517,871,1467,10,7,2689053,2690521,603,486,+,-,449.856,7.86772e-125,NC_004354.4,GCF_000001215.4,GCF_023558535.2,7227,42062,NC_083459.1,Gnomon,exon,25261196,25262664,None,-,None,132795519,exon-XM_060806281.1-5
2688400,2688535,838,973,0,0,2687562,2688535,135,119,+,-,161.779,2.71018e-38,NC_004354.4,GCF_000001215.4,GCF_023558535.2,7227,42062,NC_083459.1,Gnomon,exon,25263365,25264338,None,-,None,132795519,exon-XM_060806283.1-3
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976811.1-10
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976813.1-10
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976824.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976810.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976815.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976817.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976822.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976820.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976821.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976816.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976814.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976818.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976809.1-11
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976823.1-6
6602122,6602306,0,184,1,1,6602122,6602325,185,145,+,-,119.306,5.31183e-26,NC_083559.1,GCF_018135715.1,GCF_002706865.2,13037,69820,NC_036217.1,Gnomon,exon,13192566,13192769,None,-,None,111360701,exon-XM_022976812.1-11
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976811.1-23
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976811.1-30
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976813.1-23
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976813.1-30
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976824.1-29
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976810.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976810.1-31
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976815.1-23
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976815.1-30
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976817.1-23
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976817.1-30
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976822.1-28
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976820.1-29
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976821.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976821.1-29
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976816.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976816.1-29
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976814.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976814.1-30
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976818.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976818.1-30
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976809.1-24
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976809.1-31
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976823.1-19
1345162,1345210,4,52,1,1,1345158,1348075,49,45,+,-,67.5997,4.75474e-09,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13175791,13178708,None,-,None,111360701,exon-XM_022976823.1-26
1338679,1338753,67,144,3,0,1338612,1338758,77,69,+,-,95.2994,9.13831e-19,NC_039482.1,GCF_003590095.1,GCF_002706865.2,7111,69820,NC_036217.1,Gnomon,exon,13182240,13182386,None,-,None,111360701,exon-XM_022976812.1-24
10051282,10051910,0,631,3,0,10051282,10051913,631,612,+,+,1057.4,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9822131,9822762,None,-,None,107998360,exon-XM_017057580.2-1
10047996,10048079,0,83,0,0,10047996,10048079,83,83,+,+,154.392,4.43427e-37,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9818813,9818896,None,-,None,107998360,exon-XM_017057580.2-2
10044583,10044767,0,184,0,0,10044583,10044767,184,181,+,+,324.284,8.60694e-88,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9815467,9815651,None,-,None,107998360,exon-XM_017057580.2-3
10042397,10042524,0,127,0,0,10042397,10042524,127,127,+,+,235.645,2.66137e-61,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9813302,9813429,None,-,None,107998360,exon-XM_017057580.2-4
10041166,10041364,0,198,0,0,10041166,10041364,198,198,+,+,366.757,1.53415e-100,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9812028,9812226,None,-,None,107998360,exon-XM_017057580.2-5
10040846,10041061,0,215,0,0,10040846,10041061,215,211,+,+,375.99,2.79957e-103,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9811706,9811921,None,-,None,107998360,exon-XM_017057580.2-6
10039864,10040048,0,184,0,0,10039864,10040048,184,184,+,+,340.904,8.54627e-93,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810735,9810919,None,-,None,107998360,exon-XM_017057580.2-7
10039329,10039613,0,284,0,0,10039329,10039613,284,273,+,+,464.629,7.88686e-130,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810221,9810505,None,-,None,107998360,exon-XM_017057580.2-8
10038756,10038902,0,146,0,0,10038756,10038902,146,144,+,+,259.651,1.8734e-68,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9809655,9809801,None,-,None,107998360,exon-XM_017057580.2-9
10035801,10036023,0,222,0,0,10035801,10036023,222,216,+,+,377.837,8.07062e-104,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806777,9806999,None,-,None,107998360,exon-XM_017057580.2-10
10035353,10035729,0,376,0,0,10035353,10035729,376,361,+,+,612.361,3.61075e-174,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806330,9806706,None,-,None,107998360,exon-XM_017057580.2-11
10035080,10035267,0,187,0,0,10035080,10035267,187,179,+,+,302.124,4.10894e-81,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806053,9806240,None,-,None,107998360,exon-XM_017057580.2-12
10034826,10034983,0,157,0,0,10034826,10034983,157,156,+,+,285.504,3.3718e-76,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805798,9805955,None,-,None,107998360,exon-XM_017057580.2-13
10034502,10034746,0,244,0,0,10034502,10034746,244,238,+,+,418.463,5.2863e-116,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805462,9805706,None,-,None,107998360,exon-XM_017057580.2-14
10034194,10034412,0,218,0,0,10034194,10034412,218,212,+,+,370.45,1.32308e-101,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805153,9805371,None,-,None,107998360,exon-XM_017057580.2-15
10033756,10034067,0,311,0,0,10033756,10034067,311,300,+,+,514.489,8.52927e-145,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9804717,9805028,None,-,None,107998360,exon-XM_017057580.2-16
10029789,10033008,0,3264,91,46,10029789,10033481,3310,3066,+,+,4634.36,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057580.2-17
10033005,10033359,3332,3692,7,1,10029673,10033365,361,339,+,+,538.495,6.50493e-151,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057580.2-17
10051282,10051910,0,631,3,0,10051282,10051913,631,612,+,+,1057.4,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9822131,9822762,None,-,None,107998360,exon-XM_017057577.2-1
10047996,10048079,0,83,0,0,10047996,10048079,83,83,+,+,154.392,4.43427e-37,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9818813,9818896,None,-,None,107998360,exon-XM_017057577.2-2
10044583,10044767,0,184,0,0,10044583,10044767,184,181,+,+,324.284,8.60694e-88,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9815467,9815651,None,-,None,107998360,exon-XM_017057577.2-3
10042397,10042524,0,127,0,0,10042397,10042524,127,127,+,+,235.645,2.66137e-61,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9813302,9813429,None,-,None,107998360,exon-XM_017057577.2-4
10041166,10041364,0,198,0,0,10041166,10041364,198,198,+,+,366.757,1.53415e-100,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9812028,9812226,None,-,None,107998360,exon-XM_017057577.2-5
10040846,10041061,0,215,0,0,10040846,10041061,215,211,+,+,375.99,2.79957e-103,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9811706,9811921,None,-,None,107998360,exon-XM_017057577.2-6
10039864,10040048,0,184,0,0,10039864,10040048,184,184,+,+,340.904,8.54627e-93,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810735,9810919,None,-,None,107998360,exon-XM_017057577.2-7
10039329,10039613,0,284,0,0,10039329,10039613,284,273,+,+,464.629,7.88686e-130,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810221,9810505,None,-,None,107998360,exon-XM_017057577.2-8
10038756,10038902,0,146,0,0,10038756,10038902,146,144,+,+,259.651,1.8734e-68,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9809655,9809801,None,-,None,107998360,exon-XM_017057577.2-9
10035801,10036047,0,246,0,0,10035801,10036047,246,240,+,+,422.156,4.12388e-117,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806777,9807023,None,-,None,107998360,exon-XM_017057577.2-10
10035353,10035729,0,376,0,0,10035353,10035729,376,361,+,+,612.361,3.61075e-174,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806330,9806706,None,-,None,107998360,exon-XM_017057577.2-11
10035080,10035267,0,187,0,0,10035080,10035267,187,179,+,+,302.124,4.10894e-81,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806053,9806240,None,-,None,107998360,exon-XM_017057577.2-12
10034826,10034983,0,157,0,0,10034826,10034983,157,156,+,+,285.504,3.3718e-76,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805798,9805955,None,-,None,107998360,exon-XM_017057577.2-13
10034502,10034746,0,244,0,0,10034502,10034746,244,238,+,+,418.463,5.2863e-116,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805462,9805706,None,-,None,107998360,exon-XM_017057577.2-14
10034194,10034412,0,218,0,0,10034194,10034412,218,212,+,+,370.45,1.32308e-101,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805153,9805371,None,-,None,107998360,exon-XM_017057577.2-15
10033756,10034067,0,311,0,0,10033756,10034067,311,300,+,+,514.489,8.52927e-145,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9804717,9805028,None,-,None,107998360,exon-XM_017057577.2-16
10029789,10033008,0,3264,91,46,10029789,10033481,3310,3066,+,+,4634.36,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057577.2-17
10033005,10033359,3332,3692,7,1,10029673,10033365,361,339,+,+,538.495,6.50493e-151,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057577.2-17
10051282,10051758,0,479,3,0,10051282,10051761,479,462,+,+,787.793,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9822131,9822610,None,-,None,107998360,exon-XM_017057578.2-1
10047996,10048079,0,83,0,0,10047996,10048079,83,83,+,+,154.392,4.43427e-37,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9818813,9818896,None,-,None,107998360,exon-XM_017057578.2-2
10044583,10044767,0,184,0,0,10044583,10044767,184,181,+,+,324.284,8.60694e-88,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9815467,9815651,None,-,None,107998360,exon-XM_017057578.2-3
10042397,10042509,0,112,0,0,10042397,10042509,112,112,+,+,207.945,5.00544e-53,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9813302,9813414,None,-,None,107998360,exon-XM_017057578.2-4
10041166,10041364,0,198,0,0,10041166,10041364,198,198,+,+,366.757,1.53415e-100,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9812028,9812226,None,-,None,107998360,exon-XM_017057578.2-5
10040846,10041061,0,215,0,0,10040846,10041061,215,211,+,+,375.99,2.79957e-103,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9811706,9811921,None,-,None,107998360,exon-XM_017057578.2-6
10039864,10040048,0,184,0,0,10039864,10040048,184,184,+,+,340.904,8.54627e-93,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810735,9810919,None,-,None,107998360,exon-XM_017057578.2-7
10039329,10039613,0,284,0,0,10039329,10039613,284,273,+,+,464.629,7.88686e-130,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9810221,9810505,None,-,None,107998360,exon-XM_017057578.2-8
10038756,10038902,0,146,0,0,10038756,10038902,146,144,+,+,259.651,1.8734e-68,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9809655,9809801,None,-,None,107998360,exon-XM_017057578.2-9
10035801,10036047,0,246,0,0,10035801,10036047,246,240,+,+,422.156,4.12388e-117,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806777,9807023,None,-,None,107998360,exon-XM_017057578.2-10
10035353,10035729,0,376,0,0,10035353,10035729,376,361,+,+,612.361,3.61075e-174,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806330,9806706,None,-,None,107998360,exon-XM_017057578.2-11
10035080,10035267,0,187,0,0,10035080,10035267,187,179,+,+,302.124,4.10894e-81,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9806053,9806240,None,-,None,107998360,exon-XM_017057578.2-12
10034826,10034983,0,157,0,0,10034826,10034983,157,156,+,+,285.504,3.3718e-76,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805798,9805955,None,-,None,107998360,exon-XM_017057578.2-13
10034502,10034746,0,244,0,0,10034502,10034746,244,238,+,+,418.463,5.2863e-116,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805462,9805706,None,-,None,107998360,exon-XM_017057578.2-14
10034194,10034412,0,218,0,0,10034194,10034412,218,212,+,+,370.45,1.32308e-101,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9805153,9805371,None,-,None,107998360,exon-XM_017057578.2-15
10033756,10034067,0,311,0,0,10033756,10034067,311,300,+,+,514.489,8.52927e-145,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9804717,9805028,None,-,None,107998360,exon-XM_017057578.2-16
10029789,10033008,0,3264,91,46,10029789,10033481,3310,3066,+,+,4634.36,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057578.2-17
10033005,10033359,3332,3692,7,1,10029673,10033365,361,339,+,+,538.495,6.50493e-151,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9800567,9804259,None,-,None,107998360,exon-XM_017057578.2-17
10051282,10051758,0,479,3,0,10051282,10051761,479,462,+,+,787.793,0,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9822131,9822610,None,-,None,107998360,exon-XM_017057579.2-1
10047996,10048079,0,83,0,0,10047996,10048079,83,83,+,+,154.392,4.43427e-37,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9818813,9818896,None,-,None,107998360,exon-XM_017057579.2-2
10044583,10044767,0,184,0,0,10044583,10044767,184,181,+,+,324.284,8.60694e-88,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9815467,9815651,None,-,None,107998360,exon-XM_017057579.2-3
10042397,10042527,0,130,0,0,10042397,10042527,130,130,+,+,241.185,5.88848e-63,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9813302,9813432,None,-,None,107998360,exon-XM_017057579.2-4
10041166,10041364,0,198,0,0,10041166,10041364,198,198,+,+,366.757,1.53415e-100,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9812028,9812226,None,-,None,107998360,exon-XM_017057579.2-5
10040846,10041061,0,215,0,0,10040846,10041061,215,211,+,+,375.99,2.79957e-103,NC_037649.1,GCF_003254395.2,GCF_029169275.1,7460,7461,NC_083863.1,Gnomon,exon,9811706,9811921,None,-,None,107998360,exon-XM_017057579.2-6
